orig_address,comment_kind,port_file,port_line,comment_text_short
0x00435940,CONFIRMED,td5_ai.c,4319,[CONFIRMED @ 0x00435940] L5 audit 2026-05-18 (TD5_pool0 read-only) — byte- faithful with original for all in-loop logic:
,ARCH-DIVERGENCE,td5_ai.c,4331,[ARCH-DIVERGENCE] Three intentional port-side divergences kept post-audit. See `reference_arch_init_traffic_actors_2026-05-18.md` for full rationale.
,ARCH-DIVERGENCE,td5_ai.c,4366,[ARCH-DIVERGENCE D3] direction-polarity-macro: the original writes polarity at byte 0xFC of route_state slot (= dword index 0x3F =
,ARCH-DIVERGENCE,td5_ai.c,4566,"[ARCH-DIVERGENCE D1] queue records whose span is outside every junction range will have remapped_span = queue.span here, vs"
0x00435940,ARCH-DIVERGENCE,td5_ai.c,4711,[ARCH-DIVERGENCE D2] The original 0x00435940 does NOT zero steering_cmd / vehicle_mode / etc — those resets happen in
0x00435e80,CONFIRMED,td5_ai.c,4760,[CONFIRMED @ 0x00435E80] L5 promotion sweep audit (2026-05-18). - Stages 1-7 enumerated above match orig FSM block layout
0x00435f6a,CONFIRMED,td5_ai.c,4974,[CONFIRMED @ 0x00435F6A] iVar14=field_0x82; iVar8 = iVar14 + 1 */ lin_span = ((int)span_norm + 1) % span_count;
0x0043646a,CONFIRMED,td5_ai.c,5080,"Proximity gate [CONFIRMED @ 0x43646A]: if peer within 4 spans and moving, brake now */"
0x004364ee,CONFIRMED,td5_ai.c,5091,TTC formula [CONFIRMED @ 0x4364EE]: iVar7 = ((iVar14 * peer_speed * 0x5DC) / speed_delta + iVar14 * 0x5DC) / self_speed
0x00436561,CONFIRMED,td5_ai.c,5103,self_speed arithmetic right-shift by 10 [CONFIRMED @ 0x436561] */ speed_shifted = (self_speed + (self_speed >> 31 & 0x3FF)) >> 10;
0x00436a70,CONFIRMED,td5_ai.c,5715,[CONFIRMED @ 0x00436A70] L5 promotion sweep audit (2026-05-18).
0x00436e1d,CONFIRMED,td5_ai.c,5933,racer slots: ai_update_single_racer(slot) [CONFIRMED @ 0x436E1D] traffic slots: ai_update_single_traffic(slot)
0x0043d4e0,ARCH-DIVERGENCE,td5_ai.c,5961,0x0043D4E0  UpdateWantedDamageIndicator  [ARCH-DIVERGENCE: HUD overlay - not in td5_ai.c; L5 sweep 2026-05-21]
0x0043fb90,ARCH-DIVERGENCE,td5_ai.c,5968,0x0043FB90  ReadCompressedTrackStreamChunk  [ARCH-DIVERGENCE: inflate stream callback removed; L5 sweep 2026-05-21]
0x0043fbc0,ARCH-DIVERGENCE,td5_asset.c,733,[ARCH-DIVERGENCE: streaming -> bulk-read; L5 sweep 2026-05-21] Ghidra-verified 0x0043FC80: orig walks central-directory entries
,ARCH-DIVERGENCE,td5_asset.c,973,[ARCH-DIVERGENCE: streaming inflate -> td5_inflate_mem_to_mem; L5 sweep 2026-05-21]
0x0040aef0,ARCH-DIVERGENCE,td5_asset.c,3038,0x0040AEF0  GetEnvironmentTexturePageMode  [ARCH-DIVERGENCE: D3D3 device-state query removed; L5 sweep 2026-05-21]
0x0040bae0,ARCH-DIVERGENCE,td5_asset.c,3043,0x0040BAE0  PreloadLevelTexturePages  [ARCH-DIVERGENCE: on-demand texture streaming removed; L5 sweep 2026-05-21]
0x00412030,ARCH-DIVERGENCE,td5_asset.c,3051,0x00412030  LoadFrontendTgaSurfaceFromArchive  [ARCH-DIVERGENCE: TGA/DDraw -> PNG/D3D11; L5 sweep 2026-05-21]
0x00442d30,ARCH-DIVERGENCE,td5_asset.c,3062,0x00442D30  ResampleTexturePageToEntryDimensions  [ARCH-DIVERGENCE: page-resize removed; L5 sweep 2026-05-21]
,ARCH-DIVERGENCE,td5_camera.c,336,[ARCH-DIVERGENCE: D3D11 billboard snapshot + FPU rounding; L5 sweep 2026-05-21] Math sequence is byte-equivalent to orig (12-float memcpy → 18 multipl
,ARCH-DIVERGENCE,td5_camera.c,577,[ARCH-DIVERGENCE — DAT_*-bank globals → named C-arrays] Orig writes to fixed DAT addresses (DAT_00482ed8/edc/ee0/f18/f50/f54/
,ARCH-DIVERGENCE,td5_camera.c,585,[ARCH-DIVERGENCE — terrain-derived pitch/roll temporarily forced to 0] Orig computes pitch/roll via AngleFromVector12 over the three terrain
,ARCH-DIVERGENCE,td5_camera.c,593,[ARCH-DIVERGENCE — FPU rounding mode (ROUND vs +0.5f)] Same FISTP-RNE vs nearest-up rounding gap as
,ARCH-DIVERGENCE,td5_camera.c,597,[ARCH-DIVERGENCE — split into UpdateChaseCamera + finalize_chase_pos] Port factors the final SetCameraWorldPosition call out into
,ARCH-DIVERGENCE,td5_camera.c,1074,[ARCH-DIVERGENCE — FPU rounding mode] Orig uses ROUND() (FISTP / RNE). Port uses (int)(x + 0.5f). Per-call
0x00401950,CONFIRMED,td5_camera.c,1126,[CONFIRMED @ 0x401950]: original calls LoadRenderRotationMatrix with actor+0x120 then ConvertFloatVec3ToShortAngles. */
,ARCH-DIVERGENCE,td5_camera.c,1214,[ARCH-DIVERGENCE — rotation matrix indirection] Original transforms the offset vector through `g_raceRotationMatrixPtr`
,ARCH-DIVERGENCE,td5_camera.c,1220,[ARCH-DIVERGENCE — FPU rounding mode] Original uses ROUND() (FISTP / round-to-nearest-even). Port uses
,ARCH-DIVERGENCE,td5_camera.c,2502,[ARCH-DIVERGENCE — basis-matrix indirection] Orig reads DAT_00474bc0 (16 int constants in .rdata). Port inlines.
0x0040a260,CONFIRMED,td5_camera.c,2589,"[CONFIRMED @ 0x0040A260] */ static void UpdateCameraTransitionHudIndicator(int view, int actor_index) {"
0x00434040,CONFIRMED,td5_camera.c,2606,[CONFIRMED @ 0x00434040] */ uint32_t td5_compute_heading_delta(void *route_entry) {
0x00434040,CONFIRMED,td5_camera.c,2618,slot = rs[0x35];   /* RS_SLOT_INDEX [CONFIRMED @ 0x00434040] */ actor = (char *)(uintptr_t)(uint32_t)g_actorBaseAddr +
0x00434040,CONFIRMED,td5_camera.c,2621,actor_yaw  = *(int32_t *)(actor + 0x1F4); /* yaw accumulator [CONFIRMED @ 0x00434040] */
0x00434040,CONFIRMED,td5_camera.c,2622,span_norm  = *(int16_t *)(actor + 0x82);  /* span_normalized [CONFIRMED @ 0x00434040] */
0x00434040,CONFIRMED,td5_camera.c,2623,route_table = (const uint8_t *)(intptr_t)rs[0x00]; /* RS_ROUTE_TABLE_PTR [CONFIRMED @ 0x00434040] */
0x00434040,CONFIRMED,td5_camera.c,2625,rb   = route_table[(uint16_t)span_norm * 3u + 1u]; /* byte lookup [CONFIRMED @ 0x00434040] */
0x00434040,CONFIRMED,td5_camera.c,2629,return (uint32_t)(0u - t);  /* 12-bit negation; formula: -(...) [CONFIRMED @ 0x00434040] */
0x0042dbd0,ARCH-DIVERGENCE,td5_camera.c,2654,[ARCH-DIVERGENCE: matrix*vec converter with short clamp; L5 sweep 2026-05-21] Orig: 3x3 matrix * vec3 -> three __ftol -> (int)(short)... -> int[3].
,ARCH-DIVERGENCE,td5_camera.c,2664,"[ARCH-DIVERGENCE: shared helper, no port surface; L5 sweep 2026-05-21] Same shape as 0x0042DB40 (matrix * vec -> __ftol -> short-clamp to"
0x00409bf0,ARCH-DIVERGENCE,td5_camera.c,2671,"[ARCH-DIVERGENCE: recovery-mode Euler decomp not ported; L5 sweep 2026-05-21] Orig extracts (yaw, pitch, roll) from rotation matrix via"
,ARCH-DIVERGENCE,td5_fmv.c,20,all are [ARCH-DIVERGENCE-FMV: EA TGQ stack replaced by IMFSourceReader]:
0x0042ca00,ARCH-DIVERGENCE,td5_fmv.c,22,0x0042CA00  DisplayLoadingScreenImage   [ARCH-DIVERGENCE-FMV: DDraw blit replaced by td5_game.c:display_loading_screen_tga + td5_fmv display path; L5 
0x0043c3c0,ARCH-DIVERGENCE,td5_fmv.c,32,0x0043C3C0  RequestIntroMovieShutdown   [ARCH-DIVERGENCE-FMV: EA TGQ shutdown API replaced; L5 sweep 2026-05-21]
0x00452e20,ARCH-DIVERGENCE,td5_fmv.c,36,0x00452E20  OpenAndStartMediaPlayback   [ARCH-DIVERGENCE-FMV: EA TGQ stream-open replaced; L5 sweep 2026-05-21]
0x00452e60,ARCH-DIVERGENCE,td5_fmv.c,39,0x00452E60  SetStreamVolume             [ARCH-DIVERGENCE-FMV: EA TGQ volume setter replaced; L5 sweep 2026-05-21]
0x00452e80,ARCH-DIVERGENCE,td5_fmv.c,45,0x00452E80  IsStreamPlaying             [ARCH-DIVERGENCE-FMV: EA TGQ status query replaced; L5 sweep 2026-05-21]
0x00452ec0,ARCH-DIVERGENCE,td5_fmv.c,49,0x00452EC0  StopStreamPlayback          [ARCH-DIVERGENCE-FMV: EA TGQ stop API replaced; L5 sweep 2026-05-21]
,ARCH-DIVERGENCE,td5_fmv.c,956,[ARCH-DIVERGENCE: EA TGQ codec collapse] Phase 2 manifest (2026-05-21)
,ARCH-DIVERGENCE,td5_fmv.c,963,"Per build_confidence_map.py:104-126 docstring, [ARCH-DIVERGENCE] is the audited, documented deviation marker - functionally"
,ARCH-DIVERGENCE,td5_fmv.c,968,carries an [ARCH-DIVERGENCE: FMV] marker so the citation- proximity check in build_confidence_map.py:227-233 promotes
0x00451990,ARCH-DIVERGENCE,td5_fmv.c,972,0x00451990  OpenMultimediaStream            [ARCH-DIVERGENCE: FMV] 0x00451A10  OpenWavStream                   [ARCH-DIVERGENCE: FMV]
0x00451a10,ARCH-DIVERGENCE,td5_fmv.c,973,0x00451A10  OpenWavStream                   [ARCH-DIVERGENCE: FMV] 0x00451BB0  SkipRIFFHeaders                 [ARCH-DIVERGENCE: FMV]
0x00451bb0,ARCH-DIVERGENCE,td5_fmv.c,974,0x00451BB0  SkipRIFFHeaders                 [ARCH-DIVERGENCE: FMV] 0x00451D70  ReadAndDispatchChunk            [ARCH-DIVERGENCE: FMV]
0x00451d70,ARCH-DIVERGENCE,td5_fmv.c,975,0x00451D70  ReadAndDispatchChunk            [ARCH-DIVERGENCE: FMV] 0x004521A0  FillVideoRingBuffer             [ARCH-DIVERGENCE: FMV]
0x004521a0,ARCH-DIVERGENCE,td5_fmv.c,976,0x004521A0  FillVideoRingBuffer             [ARCH-DIVERGENCE: FMV] 0x00452280  ParseSimpleAudioHeader          [ARCH-DIVERGENCE: FMV]
0x00452280,ARCH-DIVERGENCE,td5_fmv.c,977,0x00452280  ParseSimpleAudioHeader          [ARCH-DIVERGENCE: FMV] 0x00452300  DecodeAudioChunk                [ARCH-DIVERGENCE: FMV]
0x00452300,ARCH-DIVERGENCE,td5_fmv.c,978,0x00452300  DecodeAudioChunk                [ARCH-DIVERGENCE: FMV] 0x004526A0  ParseExtendedAudioHeader        [ARCH-DIVERGENCE: FMV]
0x004526a0,ARCH-DIVERGENCE,td5_fmv.c,979,0x004526A0  ParseExtendedAudioHeader        [ARCH-DIVERGENCE: FMV] 0x004527C0  ReadTaggedParam                 [ARCH-DIVERGENCE: FMV]
0x004527c0,ARCH-DIVERGENCE,td5_fmv.c,980,0x004527C0  ReadTaggedParam                 [ARCH-DIVERGENCE: FMV] 0x00452830  CloseMultimediaStream           [ARCH-DIVERGENCE: FMV]
0x00452830,ARCH-DIVERGENCE,td5_fmv.c,981,0x00452830  CloseMultimediaStream           [ARCH-DIVERGENCE: FMV] 0x00452890  ReleaseStreamResources          [ARCH-DIVERGENCE: FMV]
0x00452890,ARCH-DIVERGENCE,td5_fmv.c,982,0x00452890  ReleaseStreamResources          [ARCH-DIVERGENCE: FMV] 0x00452910  LaunchStreamPlaybackThread      [ARCH-DIVERGENCE: FMV]
0x00452910,ARCH-DIVERGENCE,td5_fmv.c,983,0x00452910  LaunchStreamPlaybackThread      [ARCH-DIVERGENCE: FMV] 0x00452990  StreamThreadEntryPoint          [ARCH-DIVERGENCE: FMV]
0x00452990,ARCH-DIVERGENCE,td5_fmv.c,984,0x00452990  StreamThreadEntryPoint          [ARCH-DIVERGENCE: FMV] 0x004529D0  RunStreamingPlaybackLoop        [ARCH-DIVERGENCE: FMV]
0x004529d0,ARCH-DIVERGENCE,td5_fmv.c,985,0x004529D0  RunStreamingPlaybackLoop        [ARCH-DIVERGENCE: FMV] 0x00452CC0  ProcessStreamChunk              [ARCH-DIVERGENCE: FMV]
0x00452cc0,ARCH-DIVERGENCE,td5_fmv.c,986,0x00452CC0  ProcessStreamChunk              [ARCH-DIVERGENCE: FMV] 0x00452DC0  SeekToLoopPoint                 [ARCH-DIVERGENCE: FMV]
0x00452dc0,ARCH-DIVERGENCE,td5_fmv.c,987,0x00452DC0  SeekToLoopPoint                 [ARCH-DIVERGENCE: FMV] 0x00452E10  ReturnZero                      [ARCH-DIVERGENCE: FMV]
0x00452e10,ARCH-DIVERGENCE,td5_fmv.c,988,0x00452E10  ReturnZero                      [ARCH-DIVERGENCE: FMV] 0x00452F20  PresentDecodedFrame             [ARCH-DIVERGENCE: FMV]
0x00452f20,ARCH-DIVERGENCE,td5_fmv.c,989,0x00452F20  PresentDecodedFrame             [ARCH-DIVERGENCE: FMV] 0x00453380  CreateVideoOutputSurface        [ARCH-DIVERGENCE: FMV]
0x00453380,ARCH-DIVERGENCE,td5_fmv.c,990,0x00453380  CreateVideoOutputSurface        [ARCH-DIVERGENCE: FMV] 0x00453470  ResetIDCTState                  [ARCH-DIVERGENCE: FMV]
0x00453470,ARCH-DIVERGENCE,td5_fmv.c,991,0x00453470  ResetIDCTState                  [ARCH-DIVERGENCE: FMV] 0x004534A0  SwapDoubleBuffer                [ARCH-DIVERGENCE: FMV]
0x004534a0,ARCH-DIVERGENCE,td5_fmv.c,992,0x004534A0  SwapDoubleBuffer                [ARCH-DIVERGENCE: FMV] 0x004534E0  BuildColorConversionLUTs        [ARCH-DIVERGENCE: FMV]
0x004534e0,ARCH-DIVERGENCE,td5_fmv.c,993,0x004534E0  BuildColorConversionLUTs        [ARCH-DIVERGENCE: FMV] 0x00453520  BuildYCbCrToRGB16LUT            [ARCH-DIVERGENCE: FMV]
0x00453520,ARCH-DIVERGENCE,td5_fmv.c,994,0x00453520  BuildYCbCrToRGB16LUT            [ARCH-DIVERGENCE: FMV] 0x00453680  PackPixelFromRGB                [ARCH-DIVERGENCE: FMV]
0x00453680,ARCH-DIVERGENCE,td5_fmv.c,995,0x00453680  PackPixelFromRGB                [ARCH-DIVERGENCE: FMV] 0x004538B0  BuildYCbCrColorTables           [ARCH-DIVERGENCE: FMV]
0x004538b0,ARCH-DIVERGENCE,td5_fmv.c,996,0x004538B0  BuildYCbCrColorTables           [ARCH-DIVERGENCE: FMV] 0x004539A0  PackYCbCrTableEntry             [ARCH-DIVERGENCE: FMV]
0x004539a0,ARCH-DIVERGENCE,td5_fmv.c,997,0x004539A0  PackYCbCrTableEntry             [ARCH-DIVERGENCE: FMV] 0x004539E0  InitializeVideoDecoder          [ARCH-DIVERGENCE: FMV]
0x004539e0,ARCH-DIVERGENCE,td5_fmv.c,998,0x004539E0  InitializeVideoDecoder          [ARCH-DIVERGENCE: FMV] 0x00453B20  ExtractPixelFormatInfo          [ARCH-DIVERGENCE: FMV]
0x00453b20,ARCH-DIVERGENCE,td5_fmv.c,999,0x00453B20  ExtractPixelFormatInfo          [ARCH-DIVERGENCE: FMV] 0x00453BE0  CountSetBits                    [ARCH-DIVERGENCE: FMV]
0x00453be0,ARCH-DIVERGENCE,td5_fmv.c,1000,0x00453BE0  CountSetBits                    [ARCH-DIVERGENCE: FMV] 0x00453C00  CountTrailingZeroBits           [ARCH-DIVERGENCE: FMV]
0x00453c00,ARCH-DIVERGENCE,td5_fmv.c,1001,0x00453C00  CountTrailingZeroBits           [ARCH-DIVERGENCE: FMV] 0x00453C10  QuerySurfaceDimensions          [ARCH-DIVERGENCE: FMV]
0x00453c10,ARCH-DIVERGENCE,td5_fmv.c,1002,0x00453C10  QuerySurfaceDimensions          [ARCH-DIVERGENCE: FMV] 0x00453C60  BuildYCbCrToPackedPixelLUT      [ARCH-DIVERGENCE: FMV]
0x00453c60,ARCH-DIVERGENCE,td5_fmv.c,1003,0x00453C60  BuildYCbCrToPackedPixelLUT      [ARCH-DIVERGENCE: FMV] 0x00453F70  QuerySurfacePixelFormat         [ARCH-DIVERGENCE: FMV]
0x00453f70,ARCH-DIVERGENCE,td5_fmv.c,1004,0x00453F70  QuerySurfacePixelFormat         [ARCH-DIVERGENCE: FMV] 0x00454020  ReleaseVideoResources           [ARCH-DIVERGENCE: FMV]
0x00454020,ARCH-DIVERGENCE,td5_fmv.c,1005,0x00454020  ReleaseVideoResources           [ARCH-DIVERGENCE: FMV] 0x00454170  CreateDDrawSurface32            [ARCH-DIVERGENCE: FMV]
0x00454170,ARCH-DIVERGENCE,td5_fmv.c,1006,0x00454170  CreateDDrawSurface32            [ARCH-DIVERGENCE: FMV] 0x004542C0  DecodeVideoFrame                [ARCH-DIVERGENCE: FMV]
0x004542c0,ARCH-DIVERGENCE,td5_fmv.c,1007,0x004542C0  DecodeVideoFrame                [ARCH-DIVERGENCE: FMV] 0x00454690  BuildDequantizationTable        [ARCH-DIVERGENCE: FMV]
0x00454690,ARCH-DIVERGENCE,td5_fmv.c,1008,0x00454690  BuildDequantizationTable        [ARCH-DIVERGENCE: FMV] 0x00454750  BuildFullQuantTable             [ARCH-DIVERGENCE: FMV]
0x00454750,ARCH-DIVERGENCE,td5_fmv.c,1009,0x00454750  BuildFullQuantTable             [ARCH-DIVERGENCE: FMV] 0x00454830  ComputeBlitGeometry             [ARCH-DIVERGENCE: FMV]
0x00454830,ARCH-DIVERGENCE,td5_fmv.c,1010,0x00454830  ComputeBlitGeometry             [ARCH-DIVERGENCE: FMV] 0x004548C0  DecodeCompressedPixelBlock16    [ARCH-DIVERGENCE: FMV]
0x004548c0,ARCH-DIVERGENCE,td5_fmv.c,1011,0x004548C0  DecodeCompressedPixelBlock16    [ARCH-DIVERGENCE: FMV] 0x004549D0  WriteBlock16_3to6               [ARCH-DIVERGENCE: FMV]
0x004549d0,ARCH-DIVERGENCE,td5_fmv.c,1012,0x004549D0  WriteBlock16_3to6               [ARCH-DIVERGENCE: FMV] 0x00454BD0  DecodeCompressedPixelBlock32    [ARCH-DIVERGENCE: FMV]
0x00454bd0,ARCH-DIVERGENCE,td5_fmv.c,1013,0x00454BD0  DecodeCompressedPixelBlock32    [ARCH-DIVERGENCE: FMV] 0x00454CE0  WriteBlock32_3to6               [ARCH-DIVERGENCE: FMV]
0x00454ce0,ARCH-DIVERGENCE,td5_fmv.c,1014,0x00454CE0  WriteBlock32_3to6               [ARCH-DIVERGENCE: FMV] 0x00454E90  DecodeVideoFrameBlocks8x8       [ARCH-DIVERGENCE: FMV]
0x00454e90,ARCH-DIVERGENCE,td5_fmv.c,1015,0x00454E90  DecodeVideoFrameBlocks8x8       [ARCH-DIVERGENCE: FMV] 0x00454F30  DecodeVideoFrameBlocks16x16     [ARCH-DIVERGENCE: FMV]
0x00454f30,ARCH-DIVERGENCE,td5_fmv.c,1016,0x00454F30  DecodeVideoFrameBlocks16x16     [ARCH-DIVERGENCE: FMV] 0x00454FD0  DecodeVideoFrameBlocksOverlay   [ARCH-DIVERGENCE: FMV]
0x00454fd0,ARCH-DIVERGENCE,td5_fmv.c,1017,0x00454FD0  DecodeVideoFrameBlocksOverlay   [ARCH-DIVERGENCE: FMV] 0x00455070  ParseVideoFrameHeader           [ARCH-DIVERGENCE: FMV]
0x00455070,ARCH-DIVERGENCE,td5_fmv.c,1018,0x00455070  ParseVideoFrameHeader           [ARCH-DIVERGENCE: FMV] 0x004552B0  CreateVideoSurfaces             [ARCH-DIVERGENCE: FMV]
0x004552b0,ARCH-DIVERGENCE,td5_fmv.c,1019,0x004552B0  CreateVideoSurfaces             [ARCH-DIVERGENCE: FMV] 0x00455580  CreateDDrawOverlaySurface       [ARCH-DIVERGENCE: FMV]
0x00455580,ARCH-DIVERGENCE,td5_fmv.c,1020,0x00455580  CreateDDrawOverlaySurface       [ARCH-DIVERGENCE: FMV] 0x00455770  CreateDDrawSurface16            [ARCH-DIVERGENCE: FMV]
0x00455770,ARCH-DIVERGENCE,td5_fmv.c,1021,0x00455770  CreateDDrawSurface16            [ARCH-DIVERGENCE: FMV] 0x00455870  RestoreLostSurfaces             [ARCH-DIVERGENCE: FMV]
0x00455870,ARCH-DIVERGENCE,td5_fmv.c,1022,0x00455870  RestoreLostSurfaces             [ARCH-DIVERGENCE: FMV] 0x00455950  DecodeEAIMA_Mono                [ARCH-DIVERGENCE: FMV]
0x00455950,ARCH-DIVERGENCE,td5_fmv.c,1023,0x00455950  DecodeEAIMA_Mono                [ARCH-DIVERGENCE: FMV] 0x00455AD0  DecodeEAIMA_Stereo              [ARCH-DIVERGENCE: FMV]
0x00455ad0,ARCH-DIVERGENCE,td5_fmv.c,1024,0x00455AD0  DecodeEAIMA_Stereo              [ARCH-DIVERGENCE: FMV] 0x00455D60  AudioDecoderThreadFunc          [ARCH-DIVERGENCE: FMV]
0x00455d60,ARCH-DIVERGENCE,td5_fmv.c,1025,0x00455D60  AudioDecoderThreadFunc          [ARCH-DIVERGENCE: FMV] 0x00455DE0  WriteAudioToDirectSound         [ARCH-DIVERGENCE: FMV]
0x00455de0,ARCH-DIVERGENCE,td5_fmv.c,1026,0x00455DE0  WriteAudioToDirectSound         [ARCH-DIVERGENCE: FMV] 0x00455FF0  GetAudioPlayPosition            [ARCH-DIVERGENCE: FMV]
0x00455ff0,ARCH-DIVERGENCE,td5_fmv.c,1027,0x00455FF0  GetAudioPlayPosition            [ARCH-DIVERGENCE: FMV] 0x00456080  StartAudioDecoderThread         [ARCH-DIVERGENCE: FMV]
0x00456080,ARCH-DIVERGENCE,td5_fmv.c,1028,0x00456080  StartAudioDecoderThread         [ARCH-DIVERGENCE: FMV] 0x004560C0  StopAudioDecoderThread          [ARCH-DIVERGENCE: FMV]
0x004560c0,ARCH-DIVERGENCE,td5_fmv.c,1029,0x004560C0  StopAudioDecoderThread          [ARCH-DIVERGENCE: FMV] 0x00456110  InitStreamDirectSound           [ARCH-DIVERGENCE: FMV]
0x00456110,ARCH-DIVERGENCE,td5_fmv.c,1030,0x00456110  InitStreamDirectSound           [ARCH-DIVERGENCE: FMV] 0x004561D0  CreateDirectSoundDevice         [ARCH-DIVERGENCE: FMV]
