ADDRESS      #   BATCH  CONF    NAME                                                   
----------------------------------------------------------------------------------------------------
0x004aee54    WIN b17   medium  g_modelsDatPostEntryTableEnd
0x004aee54    alt b18   medium  g_modelsDatPostEntryTableBlob

0x004b08b4    WIN b03   high    g_traffic_queue_span_base
0x004b08b4    alt b10   high    g_activeRouteTablePtrB_right

0x004b08b8    WIN b03   high    g_traffic_queue_cursor_ptr
0x004b08b8    alt b10   high    g_activeTrafficBusCursor

0x004b1120    WIN b08   high    g_hudPrevSpanPosition
0x004b1120    alt b21   medium  g_hudPrevSpeedCache

0x004b1140    WIN b08   high    g_hudWrongWayCounter_v0
0x004b1140    alt b08   high    g_hudView0CenterX

0x004b1178    WIN b08   high    g_hudWrongWayCounter_v1
0x004b1178    alt b08   medium  g_hudView1CenterX

0x004b11a8    WIN b08   high    g_hudIndicatorDigit
0x004b11a8    alt b21   medium  g_hudIndicatorState

0x004b11b0    WIN b08   high    g_hudCurrentViewIndex
0x004b11b0    alt b21   high    g_hudCurrentViewIndex

0x004b11c4    WIN b08   high    g_hudUseMetricUnits
0x004b11c4    alt b21   low     (comment-only: speed-readout-units live cache)

0x004bedc0    WIN b15   medium  g_trackedActorMarkerBillboardPool
0x004bedc0    alt b15   low     g_trackedActorMarkerAnimPhase_PROVISIONAL

0x004c38a0    WIN b09   high    g_actorTrackZoneAudioStateCode
0x004c38a0    alt b18   high    g_perSlotActiveLightZoneTexturePage

0x004c3d04    WIN b17   high    g_textureUploadSkipResample
0x004c3d04    alt b18   medium  g_textureUsesTallPageFormat

0x004c3d28    WIN b17   high    g_trafficMeshSlotOffset
0x004c3d28    alt b19   high    g_trafficVehicleMeshResourcePtrTable
0x004c3d28    alt b20   high    gTrafficMeshResourcePtrTable

0x004c3d48    WIN b17   high    g_slotMeshResourceSize
0x004c3d48    alt b19   high    g_slotVehicleMeshResourceSizeTable
0x004c3d48    alt b20   high    gSlotMeshResourceByteSize

0x004c3d60    WIN b17   high    g_trafficMeshSlotSize
0x004c3d60    alt b19   high    g_trafficVehicleMeshResourceSizeTable
0x004c3d60    alt b20   high    gTrafficMeshResourceByteSize

0x004c3d78    WIN b17   high    g_chassisStaticHedEntryPtr
0x004c3d78    alt b19   high    g_chassisMeshArchiveEntry
0x004c3d78    alt b20   high    g_chassisMeshArchiveEntry

0x004c3d7c    WIN b17   medium  g_chassisFixedPointBounds
0x004c3d7c    alt b19   high    g_chassisBoundsXMin
0x004c3d7c    alt b20   medium  g_chassisBoundsMinX

0x004c3d80    WIN b19   high    g_chassisBoundsXMax
0x004c3d80    alt b20   medium  g_chassisBoundsMaxX

0x004c3d84    WIN b19   medium  g_chassisBoundsZ
0x004c3d84    alt b20   medium  g_chassisBoundsMinZ

0x004c3d88    WIN b19   medium  g_chassisBoundsY
0x004c3d88    alt b20   medium  g_chassisBoundsMaxZ

0x004c3da0    WIN b03   high    g_track_route_metadata
0x004c3da0    alt b10   medium  g_trackStripBlobAlias
0x004c3da0    alt b18   high    g_trackStripBlobAlias
0x004c3da0    alt b19   high    g_trackStripBlobAliasJunction

0x004c3ddc    WIN b15   low     g_weatherSegmentTargetView0_PROVISIONAL
0x004c3ddc    alt b26   medium  g_weatherSegmentTargetDensityView1

0x004c3de4    WIN b15   low     g_weatherActiveCountView1_PROVISIONAL
0x004c3de4    alt b26   medium  g_weatherActiveCountView1

