address,name,body_size,level,port_citations,files_cited,callers_count,bookmark_tags,ghidra_documented,is_crt_or_lib,precision_strong,precision_weak,sample_context
00403a20,IntegrateWheelSuspensionTravel,592,5,20,td5_physics.c;td5_physics.h;td5_pilot_trace_00403A20.c;td5_pilot_trace_00403A20.h,3,,0,0,4,0,[td5_physics.c] ============ |  * Suspension: IntegrateWheelSuspensionTravel (0x00403A20) |  * |  * Per-wheel spring-damper. Projects the world-frame net acceleration |  * applied this
00403c80,ComputeReverseGearTorque,258,5,7,td5_physics.c;td5_physics.h,1,,0,0,1,0,"[td5_physics.c] encounter_steering_cmd; | } |  | /* --- ComputeReverseGearTorque (0x00403C80) — byte-faithful port --- |  * |  * Despite the Ghidra name, this function does NOT compute t"
00403d90,UpdateVehicleState0fDamping,285,5,13,td5_game.c;td5_physics.c;td5_physics.h;td5_pilot_trace_00403D90.c;td5_pilot_trace_00403D90.h,1,,0,0,4,0,[td5_game.c] kips the |              * dynamics dispatch (404030 / 404EC0 / 403D90). The |              * IntegrateVehiclePoseAndContacts chain (LAB_0040690B) runs |
00403eb0,ApplyMissingWheelVelocityCorrection,354,5,13,td5_physics.c;td5_physics.h;td5_track.c;td5_track.h,1,,0,0,9,0,[td5_physics.c] 5D70  ResetVehicleActorState              -- IMPLEMENTED |  * 0x403EB0  ApplyMissingWheelVelocityCorrection -- IMPLEMENTED |  * 0x403D90  UpdateVehicleState0fDampin
00404030,UpdatePlayerVehicleDynamics,3719,5,62,td5_game.c;td5_physics.c;td5_physics.h;td5_pilot_trace_00404030.c;td5_pilot_trace_00404030.h;td5_pilot_trace_0042EBF0.c,1,,0,0,6,1,[td5_game.c] 0x00406881) only skips the |              * dynamics dispatch (404030 / 404EC0 / 403D90). The |              * IntegrateVehiclePoseAndContacts chain (LAB_0040690B)
00404ec0,UpdateAIVehicleDynamics,2341,5,30,td5_ai.c;td5_game.c;td5_physics.c;td5_physics.h;td5_pilot_trace_00404EC0.c;td5_pilot_trace_00404EC0.h;td5_pilot_trace_0042EBF0.c,1,,0,0,8,1,"[td5_ai.c] from the bicycle |      * model in UpdateAIVehicleDynamics @ 0x00404EC0, which at v=0 produces |      * ~0 torque and therefore ~0 omega, so the countdown grid-hol"
004057f0,UpdateVehicleSuspensionResponse,783,5,29,td5_physics.c;td5_physics.h;td5_pilot_trace_004057F0.c;td5_pilot_trace_004057F0.h;td5_pilot_trace_00405E80.h,1,,0,0,8,1,"[td5_physics.c] ; | } |  | #include ""td5_pilot_trace_004057F0.h"" |  | /* [CONFIRMED @ 0x004057F0] L5 promotion sweep audit (2026-05-18). |  * |  * UpdateVehicleSuspensionResponse — 783 bytes"
00405b40,ClampVehicleAttitudeLimits,549,5,12,td5_physics.c;td5_physics.h;td5_pilot_trace_00405B40.c;td5_pilot_trace_00405B40.h,1,,0,0,1,0,"[td5_physics.c] _pilot_trace_00405B40.h"" /* precise-port pilot CSV emit for 0x00405B40 */ | #include ""td5_pilot_trace_00405D70.h"" /* precise-port pilot CSV emit for 0x00405D70 */"
00405d70,ResetVehicleActorState,269,5,43,td5_ai.c;td5_game.c;td5_physics.c;td5_physics.h;td5_pilot_trace_00405D70.c;td5_pilot_trace_00405D70.h;td5_track.c,6,,0,0,6,1,[td5_ai.c] /* [0x004356bb-c2] ResetVehicleActorState(actor) at 0x00405d70 — |              * port equivalent zeroes velocities & integrates pose. */ |             td5_
00405e80,IntegrateVehiclePoseAndContacts,1250,5,58,td5_game.c;td5_physics.c;td5_physics.h;td5_pilot_trace.h;td5_pilot_trace_00405E80.c;td5_pilot_trace_00405E80.h;td5_track.c;td5_track.h,3,,0,0,8,0,[td5_game.c] 00406650 + IntegrateVehiclePoseAndContacts |              * @ 0x00405E80 are CALLED unconditionally during pause in the |              * original — the paused branc
004063a0,UpdateVehiclePoseFromPhysicsState,631,5,22,td5_physics.c;td5_physics.h;td5_pilot_trace.h;td5_pilot_trace_004063A0.c;td5_pilot_trace_004063A0.h;td5_track.c;td5_track.h,1,,0,0,5,0,"[td5_physics.c] _pilot_trace_004063A0.h"" /* precise-port pilot CSV emit for 0x004063A0 */ | #include ""td5_pilot_trace_00406650.h"" /* precise-port pilot CSV emit for 0x00406650 */"
00406650,UpdateVehicleActor,758,5,44,td5_ai.c;td5_game.c;td5_physics.c;td5_physics.h;td5_pilot_trace_00403D90.h;td5_pilot_trace_00406650.c;td5_pilot_trace_00406650.h;td5_track.c,1,,0,0,10,1,[td5_ai.c] |  *     - state 0x00 (AI):       UpdateActorTrackBehavior + UpdateVehicleActor |  *     - state 0x01 (player):   skip AI (handled by input/physics) |  *     - state
00406950,ClearTrackSegmentVisibilityTable,40,3,0,,1,,0,0,0,0,
00406980,ApplyTrackSurfaceForceToActor,831,5,4,td5_physics.c;td5_track.c,3,,0,0,1,0,[td5_physics.c] /* No ±6000 yaw clamp here — original has none inside 0x406980. |          * [CONFIRMED — no write to actor+0x1C4 after LAB_00406B6B] */ |  |         /* Track c
00406cc0,UpdateActorTrackSegmentContacts,654,5,16,td5_track.c,2,,0,0,2,0,[td5_track.c] _d3d.exe has NO generic mid-strip lateral wall impulse — |  * 0x00406CC0 is a sub-lane-extremity transverse-edge boundary check (rumble |  * strips at strip start/e
00406f50,UpdateActorTrackSegmentContactsForward,392,5,7,td5_track.c,2,,0,0,5,0,"[td5_track.c] e boundary check (rumble |  * strips at strip start/end), and 0x00406F50/0x004070E0 only test the LEFT |  * rail of a single per-level fence strip. Lateral containm"
004070e0,UpdateActorTrackSegmentContactsReverse,392,5,7,td5_track.c,2,,0,0,3,1,"[td5_track.c] check (rumble |  * strips at strip start/end), and 0x00406F50/0x004070E0 only test the LEFT |  * rail of a single per-level fence strip. Lateral containment in the"
00407270,ApplySimpleTrackSurfaceForce,286,5,11,td5_physics.c,3,,0,0,5,0,[td5_physics.c] | } |  | /* ApplySimpleTrackSurfaceForce — byte-faithful port of 0x00407270. |  * |  * Pushes actor out of wall penetration and reflects the outward velocity. |  * |  * Addr
00407390,ProcessActorSegmentTransition,812,5,14,td5_physics.c,1,,0,0,2,1,[td5_physics.c] t - car_size; | } |  | /* ProcessActorSegmentTransition — port of 0x00407390. |  * |  * Tests the inner (sub_lane < 2) and outer (sub_lane >= lane_count-2) edges |  * of th
004076c0,ProcessActorForwardCheckpointPass,372,5,7,td5_physics.c,1,,0,0,2,0,[td5_physics.c] n); |     } | } |  | /* ProcessActorForwardCheckpointPass — port of 0x004076C0. |  * |  * Forward-sentinel counterpart of process_traffic_route_advance. |  * Tests whether tr
00407840,ProcessActorRouteAdvance,371,5,19,td5_physics.c,1,,0,0,3,1,[td5_physics.c] } |         } |     } | } |  | /* ProcessActorRouteAdvance — port of 0x00407840. |  * |  * Tests the forward end of the current span (the actor is near the end of the |  * spa
004079c0,ApplyVehicleCollisionImpulse,2982,5,17,td5_physics.c;td5_pilot_trace_v2v.c;td5_pilot_trace_v2v.h,1,HOOK_POINT,1,0,6,0,[td5_physics.c] yDampedSuspensionForce          -- IMPLEMENTED (traffic) |  * 0x4079C0  ApplyVehicleCollisionImpulse        -- IMPLEMENTED |  * 0x409150  ResolveVehicleContacts
00408570,CollectVehicleCollisionContacts,1261,5,13,td5_physics.c,1,,0,0,3,0,"[td5_physics.c] z_b  = (int32_t)CDEF_S(b, 0x14); |  |     /* [LISTING ALIGNMENT 0x00408570]: the original's |      *   CollectVehicleCollisionContacts(int param_1, int param_2, |"
00408a60,ResolveVehicleCollisionPair,1124,5,4,td5_physics.c,1,HOOK_POINT,1,0,1,0,[td5_physics.c] 14] |      * |      * The original ResolveVehicleCollisionPair (0x00408A60) keeps the |      * bisection accumulators in RAW 24.8 fixed-point throughout — the |      *
00408f70,ResolveSimpleActorSeparation,472,5,3,td5_physics.c,1,,0,0,1,0,[td5_physics.c] rn; |  |     /* Faithful port of ResolveSimpleActorSeparation @ 0x00408F70 |      * [CONFIRMED 2026-05-12 via Ghidra decomp]: |      *   iVar6 = (nx_12bit * v_proj_16)
00409150,ResolveVehicleContacts,381,5,17,td5_camera.c;td5_game.c;td5_physics.c;td5_pilot_trace_00409150.c;td5_pilot_trace_00409150.h,1,HOOK_POINT,1,0,3,0,"[td5_camera.c] rame's |    sim-tick loop (0x0042B580, after UpdateRaceActors/ResolveVehicleContacts/ |    UpdateRaceOrder). Reading post-physics actor angles against the |    pre-ph"
004092d0,RenderVehicleActorModel,587,3,0,,1,,0,0,0,0,
00409520,CheckAndUpdateActorCollisionAlignment,392,3,0,,1,,0,0,0,0,
004096b0,ComputeActorWorldBoundingVolume,1339,3,0,,1,,0,0,0,0,
00409bf0,RefreshScriptedVehicleTransforms,179,5,2,td5_physics.c,2,,0,0,2,0,"[td5_physics.c] 06650 + 0x409E5E] |          * Original: vehicle_mode==1 runs RefreshScriptedVehicleTransforms + |          * IntegrateScriptedVehicleMotion for 59 frames, then cal"
00409d20,IntegrateScriptedVehicleMotion,338,5,7,td5_physics.c,2,,0,0,2,0,[td5_physics.c] confirmed from |          * IntegrateScriptedVehicleMotion @ 0x00409D20-0x00409D66. |          * Angular velocity damping removed — original overwrites them from |
00409e80,CheckRaceCompletionState,968,5,20,td5_game.c;td5_track.c,1,HOOK_POINT,1,0,2,0,[td5_game.c] ate |          * (verbatim port of CheckRaceCompletionState @ 0x00409E80). This |          * holds the unshifted base — matches original 0x0042b076. */ |         g_td
0040a260,UpdateCameraTransitionHudIndicator,69,5,8,td5_camera.c,1,,0,0,2,1,[td5_camera.c] for_trackside(); | } |  | /* UpdateCameraTransitionHudIndicator @ 0x0040A260 |  * Single-race: indicator = actor race_position+0x383 + 2; other modes: 0. |  * [CONFIRMED
0040a2b0,AdvancePendingFinishState,283,5,20,td5_game.c;td5_game.h;td5_physics.c,1,,0,0,3,0,"[td5_game.c] on Ultimate |          *   AdvancePendingFinishState        (0x0040A2B0) — per-tick, decrements +0x344 |          *   DecayUltimateVariantTimer        (0x0040A440)"
0040a3d0,AccumulateVehicleSpeedBonusScore,109,5,8,td5_game.c;td5_game.h;td5_physics.c,1,,0,0,1,0,"[td5_game.c] Actor) calls |          *   AccumulateVehicleSpeedBonusScore (0x0040A3D0) — per-tick, gated on Ultimate |          *   AdvancePendingFinishState        (0x0040A2B0)"
0040a440,DecayUltimateVariantTimer,63,5,14,td5_game.c;td5_game.h;td5_physics.c,8,,0,0,3,0,[td5_game.c] ments +0x344 |          *   DecayUltimateVariantTimer        (0x0040A440) — per-tick from contact paths |          * from inside UpdateRaceActors (which itself runs
0040a480,InitializeRaceCameraTransitionDuration,10,3,0,,1,,0,0,0,0,
0040a490,UpdateRaceCameraTransitionTimer,157,5,29,td5_camera.c;td5_game.c;td5_render.c;td5_render.h;td5_trace_whole_state.h;td5re.h,1,,0,0,5,0,[td5_camera.c] orView[v] * 0x388 in port). |  *  Note: orig's only caller is UpdateRaceCameraTransitionTimer at the |  *  countdown timer-zero crossing; that call is currently NOT
0040a530,AdjustCheckpointTimersByDifficulty,274,5,20,td5_game.c;td5_game.h,1,,0,0,3,0,[td5_game.c] --- */ |     /* Original AdjustCheckpointTimersByDifficulty @ 0x0040A530 is called |      * per-slot from InitializeRaceVehicleRuntime @ 0x0042F140. The scaling |
0040a650,BuildSinCosLookupTables,76,5,6,td5_ai.c;td5_render.c,1,,0,0,2,1,"[td5_ai.c] , and LUT init |                  * BuildSinCosLookupTables @ 0x0040a650] |                  * Original calls FUN_0040a700(raw_deviation) = SinFixed12bit. |"
0040a6a0,CosFloat12bit,16,5,51,td5_camera.c;td5_hud.c;td5_physics.c;td5_physics.h;td5_pilot_trace_trig.c;td5_pilot_trace_trig.h;td5_render.c;td5_render.h,15,,0,0,8,1,[td5_camera.c] ped — see BuildRotationMatrixFromAngles comment. */ |     s = CosFloat12bit((unsigned int)(unsigned short)yaw); |     c = SinFloat12bit(yaw); |     rot[4] = 1.0f; |
0040a6c0,SinFloat12bit,21,5,47,td5_camera.c;td5_hud.c;td5_physics.c;td5_physics.h;td5_pilot_trace_trig.c;td5_pilot_trace_trig.h;td5_render.c;td5_render.h,15,,0,0,7,1,[td5_camera.c] = CosFloat12bit((unsigned int)(unsigned short)yaw); |     c = SinFloat12bit(yaw); |     rot[4] = 1.0f; |     rot[3] = 0.0f; rot[5] = 0.0f; |     rot[1] = 0.0f; rot[7] =
0040a6e0,CosFixed12bit,16,5,14,td5_camera.c;td5_physics.c;td5_render.c;td5_render.h,21,,0,0,1,0,[td5_camera.c] g_camRotationSlot[v] * 0x800); |  |     cos_val = CosFixed12bit(combined_angle); |     sin_val = SinFixed12bit(combined_angle); |  |     pos_x = *(int *)(ac
0040a700,SinFixed12bit,21,5,12,td5_ai.c;td5_camera.c;td5_physics.c;td5_render.c;td5_render.h,22,,0,0,3,0,"[td5_ai.c] al correction. |                  * [CONFIRMED @ 0x4340C0 via 0x0040a700, and LUT init |                  * BuildSinCosLookupTables @ 0x0040a650] |                  *"
0040a720,AngleFromVector12,341,5,39,td5_ai.c;td5_camera.c;td5_physics.c;td5_pilot_trace_0040A720.c;td5_pilot_trace_0040A720.h;td5_render.c;td5_render.h;td5_track.c;td5_vfx.c,21,,0,0,14,1,[td5_ai.c] ARCH-DIVERGENCE @ 0x00433FC0] Orig calls AngleFromVector12 (0x0040A720) |  *   which indexes a 12-bit atan2 LUT at DAT_00463214. Port uses libm |  *   atan2(double)
0040a880,ResetRaceResultsTable,50,5,7,td5_game.c,2,,0,0,5,0,"[td5_game.c] nolithic bootstrap was split. |  * |  * ResetRaceResultsTable @ 0x0040a880 [ARCH-DIVERGENCE] |  *   Orig writes a 6-entry, 20-byte-stride table at 0x0048d988. Per ent"
0040a8c0,BuildRaceResultsTable,527,5,3,td5_game.c,1,,0,0,2,0,"[td5_game.c] ce-runtime rand() consumers |      * (BuildRaceResultsTable @ 0x40A8C0 uses rand() & 0x1F, etc.). */ |     { |         /* StateReplay harness needs the same determini"
0040aad0,SortRaceResultsByPrimaryMetricAsc,172,5,8,td5_frontend.c;td5_game.c;td5_game.h,1,,0,0,6,0,[td5_frontend.c] rimary metric asc    (SortRaceResultsByPrimaryMetricAsc   @ 0x40AAD0) |          * [CONFIRMED @ 0x00422480 case 0] */ |         td5_game_sort_results(); |  |         /*
0040ab80,SortRaceResultsBySecondaryMetricDesc,126,5,7,td5_frontend.c;td5_game.c;td5_game.h,1,,0,0,6,0,[td5_frontend.c] condary metric desc (SortRaceResultsBySecondaryMetricDesc @ 0x40AB80) |          * Types 2-5: by primary metric asc    (SortRaceResultsByPrimaryMetricAsc   @ 0x40
0040ac00,PrepareMeshResource,477,5,10,td5_render.c;td5_track.c;td5_track.h,3,,0,0,6,0,"[td5_render.c] ==== |  * Deferred Additive Pass |  * |  * The source port has no PrepareMeshResource opcode-rewrite pass, so |  * loaded-texture commands never reach the depth-sorted"
0040ade0,BeginRaceScene,19,4,4,td5_render.c;td5_render.h,1,HOOK_POINT,1,0,0,0,[td5_render.c] eRenderState |  *   0x40AEC0  ReleaseRaceRenderResources |  *   0x40ADE0  BeginRaceScene |  *   0x40AE00  EndRaceScene |  *   0x43DA80  LoadRenderRotationMatrix |  *   0x
0040ae00,EndRaceScene,10,4,5,td5_render.c;td5_render.h,1,HOOK_POINT,1,0,0,0,[td5_render.c] leaseRaceRenderResources |  *   0x40ADE0  BeginRaceScene |  *   0x40AE00  EndRaceScene |  *   0x43DA80  LoadRenderRotationMatrix |  *   0x43DC20  LoadRenderTranslation |
0040ae10,InitializeRaceRenderGlobals,111,5,7,td5_game.c;td5_render.c;td5_render.h,1,,0,0,1,0,"[td5_game.c] ref[8] - 0x30. |  *     2) Call InitializeRaceRenderGlobals @ 0x0040AE10. |  *     3) Call QueryRaceSharedPointer(4, &g_vehicleProjectionEffectMode, 4). |  *     4) S"
0040ae80,InitializeRaceRenderState,53,4,4,td5_render.c;td5_render.h,1,,0,0,0,0,[td5_render.c] full list): |  *   0x40AE10  InitializeRaceRenderGlobals |  *   0x40AE80  InitializeRaceRenderState |  *   0x40AEC0  ReleaseRaceRenderResources |  *   0x40ADE0  BeginRa
0040aec0,ReleaseRaceRenderResources,40,4,4,td5_render.c;td5_render.h,1,HOOK_POINT,1,0,0,0,[td5_render.c] RenderGlobals |  *   0x40AE80  InitializeRaceRenderState |  *   0x40AEC0  ReleaseRaceRenderResources |  *   0x40ADE0  BeginRaceScene |  *   0x40AE00  EndRaceScene |  *
0040aef0,GetEnvironmentTexturePageMode,21,3,0,,1,,0,0,0,0,
0040af10,ConfigureRaceFogColorAndMode,60,4,2,td5_render.h,1,,0,0,0,0,[td5_render.h] 0x40ADE0  BeginRaceScene |  *   0x40AE00  EndRaceScene |  *   0x40AF10  ConfigureRaceFogColorAndMode |  *   0x40AF50  ApplyRaceFogRenderState |  *   0x40B070  SetRace
0040af50,ApplyRaceFogRenderState,287,4,2,td5_render.h,1,,0,0,0,0,[td5_render.h] dRaceScene |  *   0x40AF10  ConfigureRaceFogColorAndMode |  *   0x40AF50  ApplyRaceFogRenderState |  *   0x40B070  SetRaceRenderStatePreset (4 presets) |  *   0x43DA80
0040b070,SetRaceRenderStatePreset,122,5,13,td5_platform_win32.c;td5_render.c;td5_render.h,1,,0,0,6,0,[td5_platform_win32.c] match to original SetRaceRenderStatePreset(0) |          * @ 0x0040b070 case 0 (final fallthrough block 0x40b0d8-0x40b0e9): |          *   D3DRS_ZFUNC        (0x17
0040b100,BuildEnumeratedDisplayModeList,108,3,0,,2,,0,0,0,0,
0040b170,SelectConfiguredDisplayModeSlot,72,3,0,,1,,0,0,0,0,
0040b1c0,BuildTrackTextureCache,11,3,0,,1,,0,0,0,0,
0040b1d0,BuildTrackTextureCacheImpl,839,4,23,td5_asset.c;td5_render.h,1,,0,0,0,0,[td5_asset.c] → alpha 0 rule from BuildTrackTextureCacheImpl |          * @ 0x0040B1D0 case 3. Approximate it by treating pure black |          * (RGB=0) as the background colour
0040b530,SwapIndexedRuntimeEntries,68,4,7,td5_asset.c;td5_asset.h,1,,0,0,0,0,[td5_asset.c] n @ 0x0042FD70 |  *   SwapIndexedRuntimeEntries             @ 0x0040B530 |  * which exchanges entries in the texture-cache header arrays |  * (DAT_0048dc40+4 page-poi
0040b580,SetRaceTexturePageLoader,13,5,6,td5_game.c,1,,0,0,3,0,[td5_game.c] Loader(LoadRaceTexturePages). |  *         [ARCH-DIVERGENCE @ 0x0040B580 SetRaceTexturePageLoader] |  *         Orig is a 13-byte one-liner that writes a function p
0040b590,UploadRaceTexturePage,204,4,10,td5_asset.c;td5_hud.c,2,,0,0,0,0,[td5_asset.c] files are runtime dumps from UploadRaceTexturePage |      * (0x0040B590).  Two layouts are observed depending on the format_mode |      * the original passed to M2
0040b660,BindRaceTexturePage,438,5,19,td5_asset.c;td5_asset.h;td5_platform_win32.c;td5_render.c;td5_render.h,5,,0,0,2,0,[td5_asset.c] _0048dc40[3]+7+i*8 in the |  * original BindRaceTexturePage @ 0x0040B660. */ | #define TD5_PAGE_TRANSPARENCY_MAX 1024 | static int8_t s_page_transparency[TD5_PAGE_TRA
0040b830,AdvanceTextureStreamingScheduler,441,4,2,td5_render.h,2,,0,0,0,0,[td5_render.h] RaceTextureCapacity |  *   0x40B660  BindRaceTexturePage |  *   0x40B830  AdvanceTextureStreamingScheduler |  *   0x40B1D0  BuildTrackTextureCacheImpl |  *   0x430D30
0040b9f0,GetTextureSlotStatus,31,5,4,td5_render.h;td5_track.c,1,,0,0,2,0,[td5_track.c] dge. UVs are passed through as-is.] |  * |  * 2. Per-mesh-batch GetTextureSlotStatus primitive-type tag |  *    Orig calls GetTextureSlotStatus(mesh->texture_page_id)
0040ba10,AdvanceTexturePageUsageAges,75,4,4,td5_render.c;td5_render.h,1,,0,0,0,0,[td5_render.c] ure_ages(void) | { |     /* |      * AdvanceTexturePageUsageAges (0x40BA10): |      * Called from EndRaceScene. Per texture page slot: |      * - If used this frame: rese
0040ba60,ResetTexturePageCacheState,63,4,4,td5_render.c;td5_render.h,1,,0,0,0,0,[td5_render.c] ure_cache(void) | { |     /* |      * ResetTexturePageCacheState (0x40BA60): |      * Full cache reset before loading a new track's textures. |      * Clears active count
0040baa0,QueryRaceTextureCapacity,62,4,2,td5_render.h,1,,0,0,0,0,[td5_render.h] ageUsageAges |  *   0x40BA60  ResetTexturePageCacheState |  *   0x40BAA0  QueryRaceTextureCapacity |  *   0x40B660  BindRaceTexturePage |  *   0x40B830  AdvanceTextureS
0040bae0,PreloadLevelTexturePages,138,3,0,,1,,0,0,0,0,
0040bb70,InitializeVehicleShadowAndWheelSpriteTemplates,418,4,3,td5_render.c,1,,0,0,0,0,[td5_render.c] | bl; |     } | } |  | /* --- Vehicle Shadow Projection (0x40C120 / 0x40BB70) --- |  * |  * Original (InitializeVehicleShadowAndWheelSpriteTemplates @ 0x40bb70 + |  * RenderR
0040bd20,RenderRaceActorsForView,1010,5,9,td5_render.c;td5_render.h,1,HOOK_POINT,1,0,2,0,[td5_render.c] ew(int view_index) | { |     /* |      * RenderRaceActorsForView (0x40BD20): |      * Master per-view actor renderer. Iterates active actor slots and |      * renders veh
0040c120,RenderRaceActorForView,1712,5,27,td5_game.c;td5_platform_win32.c;td5_render.c;td5_vfx.c,1,,0,0,6,0,[td5_game.c] 0 has a SINGLE |          * caller — RenderRaceActorForView @ 0x0040C120 (LAB_0040c7ba). Sim |          * tick only runs UpdateTireTrackPool() (per-slot intensity d
